                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.39907,                0.63394,                 1.1357,                0.93648,                0.93501,                0.97917,                0.94841,                0.14923,                 2.4326,                0.72241,               0.004456,               0.004456,               0.004456
                     58,                 0.3992,                0.63634,                 1.1367,                 0.9355,                0.93637,                 0.9793,                0.94895,                0.14831,                 2.4072,                0.72125,               0.004357,               0.004357,               0.004357
                     59,                0.39627,                0.62714,                 1.1326,                0.93586,                0.93604,                0.97958,                0.94967,                0.14741,                  2.378,                0.72017,               0.004258,               0.004258,               0.004258
                     60,                0.39565,                 0.6297,                 1.1335,                0.93469,                0.93791,                0.97976,                0.95007,                0.14657,                 2.3619,                0.71928,               0.004159,               0.004159,               0.004159
                     61,                0.39437,                0.62033,                 1.1333,                0.93563,                0.93788,                0.97994,                0.95057,                0.14599,                 2.3487,                0.71868,                0.00406,                0.00406,                0.00406
                     62,                0.38791,                0.62525,                 1.1258,                0.93808,                0.93656,                0.98021,                0.95102,                0.14501,                 2.3281,                0.71782,               0.003961,               0.003961,               0.003961
                     63,                0.38553,                0.62202,                 1.1244,                0.93697,                0.93788,                0.98036,                0.95144,                0.14426,                 2.3007,                0.71707,               0.003862,               0.003862,               0.003862
                     64,                0.38551,                0.62154,                  1.125,                0.93733,                0.93812,                0.98043,                0.95167,                0.14332,                 2.2955,                0.71616,               0.003763,               0.003763,               0.003763
                     65,                0.38605,                 0.6183,                 1.1265,                0.94017,                0.93628,                0.98061,                0.95227,                0.14228,                 2.2653,                0.71522,               0.003664,               0.003664,               0.003664
                     66,                0.37829,                0.61837,                 1.1204,                0.93811,                0.93898,                0.98081,                0.95292,                0.14118,                 2.2358,                0.71421,               0.003565,               0.003565,               0.003565
                     67,                0.37965,                0.60987,                 1.1214,                0.93839,                 0.9393,                0.98109,                0.95377,                0.14053,                 2.2081,                0.71331,               0.003466,               0.003466,               0.003466
                     68,                0.38049,                0.60962,                  1.121,                0.93857,                0.93965,                0.98123,                0.95423,                0.14005,                 2.1867,                0.71276,               0.003367,               0.003367,               0.003367
                     69,                0.37626,                0.60903,                 1.1175,                0.94006,                0.93906,                0.98134,                0.95473,                0.13919,                 2.1627,                0.71201,               0.003268,               0.003268,               0.003268
                     70,                 0.3732,                0.60985,                  1.117,                0.93955,                0.94002,                0.98142,                0.95504,                0.13831,                 2.1434,                 0.7112,               0.003169,               0.003169,               0.003169
                     71,                0.37041,                0.60329,                  1.117,                0.94133,                0.93919,                0.98163,                0.95558,                0.13685,                 2.1089,                 0.7098,                0.00307,                0.00307,                0.00307
                     72,                0.37204,                0.60059,                 1.1164,                0.94175,                0.93991,                0.98179,                0.95604,                0.13615,                  2.081,                0.70919,               0.002971,               0.002971,               0.002971
                     73,                0.37007,                 0.5947,                 1.1133,                0.94202,                0.94002,                0.98191,                 0.9566,                0.13544,                 2.0686,                 0.7085,               0.002872,               0.002872,               0.002872
                     74,                 0.3667,                0.59823,                 1.1116,                0.94096,                0.94188,                0.98211,                0.95714,                0.13457,                 2.0329,                0.70762,               0.002773,               0.002773,               0.002773
                     75,                0.36516,                 0.5961,                 1.1131,                0.94242,                0.94159,                0.98228,                0.95745,                0.13379,                 1.9954,                0.70666,               0.002674,               0.002674,               0.002674
                     76,                0.36624,                0.59268,                 1.1122,                0.94166,                0.94283,                0.98251,                0.95799,                0.13337,                 1.9586,                0.70602,               0.002575,               0.002575,               0.002575
                     77,                0.36319,                0.58606,                 1.1087,                0.94342,                0.94227,                0.98267,                0.95843,                0.13285,                 1.9411,                0.70535,               0.002476,               0.002476,               0.002476
